Problem,Step,Track,V1
j.rnd,1,LWR,1410
j.rnd,1,MWR,3000
j.rnd,1,OPT,3000
j.rnd,2,LWR,1410
j.rnd,2,MWR,3000
j.rnd,2,OPT,3000
j.rnd,3,LWR,1410
j.rnd,3,MWR,3000
j.rnd,3,OPT,3000
j.rnd,4,LWR,1410
j.rnd,4,MWR,3000
j.rnd,4,OPT,3000
j.rnd,5,LWR,1410
j.rnd,5,MWR,3000
j.rnd,5,OPT,3000
j.rnd,6,LWR,1410
j.rnd,6,MWR,3000
j.rnd,6,OPT,3000
j.rnd,7,LWR,1410
j.rnd,7,MWR,3000
j.rnd,7,OPT,3000
j.rnd,8,LWR,1410
j.rnd,8,MWR,3000
j.rnd,8,OPT,3000
j.rnd,9,LWR,1410
j.rnd,9,MWR,3000
j.rnd,9,OPT,3000
j.rnd,10,LWR,1410
j.rnd,10,MWR,3000
j.rnd,10,OPT,3000
j.rnd,11,LWR,1269
j.rnd,11,MWR,3000
j.rnd,11,OPT,3000
j.rnd,12,LWR,1269
j.rnd,12,MWR,3000
j.rnd,12,OPT,3000
j.rnd,13,LWR,1269
j.rnd,13,MWR,3000
j.rnd,13,OPT,3000
j.rnd,14,LWR,1269
j.rnd,14,MWR,3000
j.rnd,14,OPT,3000
j.rnd,15,LWR,1269
j.rnd,15,MWR,3000
j.rnd,15,OPT,3000
j.rnd,16,LWR,1269
j.rnd,16,MWR,3000
j.rnd,16,OPT,3000
j.rnd,17,LWR,1269
j.rnd,17,MWR,3000
j.rnd,17,OPT,3000
j.rnd,18,LWR,1269
j.rnd,18,MWR,3000
j.rnd,18,OPT,3000
j.rnd,19,LWR,1269
j.rnd,19,MWR,3000
j.rnd,19,OPT,3000
j.rnd,20,LWR,1269
j.rnd,20,MWR,3000
j.rnd,20,OPT,3000
j.rnd,21,LWR,1128
j.rnd,21,MWR,3000
j.rnd,21,OPT,3000
j.rnd,22,LWR,1128
j.rnd,22,MWR,3000
j.rnd,22,OPT,3000
j.rnd,23,LWR,1128
j.rnd,23,MWR,3000
j.rnd,23,OPT,3000
j.rnd,24,LWR,1128
j.rnd,24,MWR,3000
j.rnd,24,OPT,3000
j.rnd,25,LWR,1128
j.rnd,25,MWR,3000
j.rnd,25,OPT,3000
j.rnd,26,LWR,1128
j.rnd,26,MWR,3000
j.rnd,26,OPT,3000
j.rnd,27,LWR,1128
j.rnd,27,MWR,3000
j.rnd,27,OPT,3000
j.rnd,28,LWR,1128
j.rnd,28,MWR,3000
j.rnd,28,OPT,3000
j.rnd,29,LWR,1128
j.rnd,29,MWR,3000
j.rnd,29,OPT,3000
j.rnd,30,LWR,1128
j.rnd,30,MWR,3000
j.rnd,30,OPT,3000
j.rnd,31,LWR,987
j.rnd,31,MWR,3000
j.rnd,31,OPT,3000
j.rnd,32,LWR,987
j.rnd,32,MWR,3000
j.rnd,32,OPT,3000
j.rnd,33,LWR,987
j.rnd,33,MWR,3000
j.rnd,33,OPT,3000
j.rnd,34,LWR,987
j.rnd,34,MWR,3000
j.rnd,34,OPT,3000
j.rnd,35,LWR,987
j.rnd,35,MWR,3000
j.rnd,35,OPT,3000
j.rnd,36,LWR,987
j.rnd,36,MWR,3000
j.rnd,36,OPT,3000
j.rnd,37,LWR,987
j.rnd,37,MWR,3000
j.rnd,37,OPT,3000
j.rnd,38,LWR,987
j.rnd,38,MWR,3000
j.rnd,38,OPT,3000
j.rnd,39,LWR,987
j.rnd,39,MWR,3000
j.rnd,39,OPT,3000
j.rnd,40,LWR,987
j.rnd,40,MWR,3000
j.rnd,40,OPT,3000
j.rnd,41,LWR,846
j.rnd,41,MWR,3000
j.rnd,41,OPT,3000
j.rnd,42,LWR,846
j.rnd,42,MWR,3000
j.rnd,42,OPT,3000
j.rnd,43,LWR,846
j.rnd,43,MWR,3000
j.rnd,43,OPT,3000
j.rnd,44,LWR,846
j.rnd,44,MWR,3000
j.rnd,44,OPT,3000
j.rnd,45,LWR,846
j.rnd,45,MWR,3000
j.rnd,45,OPT,3000
j.rnd,46,LWR,846
j.rnd,46,MWR,3000
j.rnd,46,OPT,3000
j.rnd,47,LWR,846
j.rnd,47,MWR,3000
j.rnd,47,OPT,2999
j.rnd,48,LWR,846
j.rnd,48,MWR,3000
j.rnd,48,OPT,2996
j.rnd,49,LWR,846
j.rnd,49,MWR,3000
j.rnd,49,OPT,2996
j.rnd,50,LWR,846
j.rnd,50,MWR,3000
j.rnd,50,OPT,2996
j.rnd,51,LWR,705
j.rnd,51,MWR,3000
j.rnd,51,OPT,2996
j.rnd,52,LWR,705
j.rnd,52,MWR,3000
j.rnd,52,OPT,2995
j.rnd,53,LWR,705
j.rnd,53,MWR,3000
j.rnd,53,OPT,2994
j.rnd,54,LWR,705
j.rnd,54,MWR,3000
j.rnd,54,OPT,2994
j.rnd,55,LWR,705
j.rnd,55,MWR,3000
j.rnd,55,OPT,2993
j.rnd,56,LWR,705
j.rnd,56,MWR,3000
j.rnd,56,OPT,2992
j.rnd,57,LWR,705
j.rnd,57,MWR,3000
j.rnd,57,OPT,2992
j.rnd,58,LWR,705
j.rnd,58,MWR,3000
j.rnd,58,OPT,2989
j.rnd,59,LWR,705
j.rnd,59,MWR,3000
j.rnd,59,OPT,2985
j.rnd,60,LWR,705
j.rnd,60,MWR,3000
j.rnd,60,OPT,2982
j.rnd,61,LWR,564
j.rnd,61,MWR,3000
j.rnd,61,OPT,2979
j.rnd,62,LWR,564
j.rnd,62,MWR,3000
j.rnd,62,OPT,2974
j.rnd,63,LWR,564
j.rnd,63,MWR,3000
j.rnd,63,OPT,2969
j.rnd,64,LWR,564
j.rnd,64,MWR,3000
j.rnd,64,OPT,2966
j.rnd,65,LWR,564
j.rnd,65,MWR,3000
j.rnd,65,OPT,2959
j.rnd,66,LWR,564
j.rnd,66,MWR,3000
j.rnd,66,OPT,2951
j.rnd,67,LWR,564
j.rnd,67,MWR,3000
j.rnd,67,OPT,2942
j.rnd,68,LWR,564
j.rnd,68,MWR,3000
j.rnd,68,OPT,2931
j.rnd,69,LWR,564
j.rnd,69,MWR,3000
j.rnd,69,OPT,2916
j.rnd,70,LWR,564
j.rnd,70,MWR,3000
j.rnd,70,OPT,2897
j.rnd,71,LWR,423
j.rnd,71,MWR,3000
j.rnd,71,OPT,2886
j.rnd,72,LWR,423
j.rnd,72,MWR,3000
j.rnd,72,OPT,2874
j.rnd,73,LWR,423
j.rnd,73,MWR,3000
j.rnd,73,OPT,2858
j.rnd,74,LWR,423
j.rnd,74,MWR,3000
j.rnd,74,OPT,2835
j.rnd,75,LWR,423
j.rnd,75,MWR,3000
j.rnd,75,OPT,2814
j.rnd,76,LWR,423
j.rnd,76,MWR,2999
j.rnd,76,OPT,2787
j.rnd,77,LWR,423
j.rnd,77,MWR,2999
j.rnd,77,OPT,2755
j.rnd,78,LWR,423
j.rnd,78,MWR,2999
j.rnd,78,OPT,2724
j.rnd,79,LWR,423
j.rnd,79,MWR,2998
j.rnd,79,OPT,2694
j.rnd,80,LWR,423
j.rnd,80,MWR,2996
j.rnd,80,OPT,2650
j.rnd,81,LWR,282
j.rnd,81,MWR,2989
j.rnd,81,OPT,2607
j.rnd,82,LWR,282
j.rnd,82,MWR,2974
j.rnd,82,OPT,2565
j.rnd,83,LWR,282
j.rnd,83,MWR,2945
j.rnd,83,OPT,2515
j.rnd,84,LWR,282
j.rnd,84,MWR,2919
j.rnd,84,OPT,2463
j.rnd,85,LWR,282
j.rnd,85,MWR,2870
j.rnd,85,OPT,2408
j.rnd,86,LWR,282
j.rnd,86,MWR,2794
j.rnd,86,OPT,2357
j.rnd,87,LWR,282
j.rnd,87,MWR,2699
j.rnd,87,OPT,2275
j.rnd,88,LWR,282
j.rnd,88,MWR,2586
j.rnd,88,OPT,2198
j.rnd,89,LWR,282
j.rnd,89,MWR,2462
j.rnd,89,OPT,2117
j.rnd,90,LWR,282
j.rnd,90,MWR,2319
j.rnd,90,OPT,2040
j.rnd,91,LWR,141
j.rnd,91,MWR,2175
j.rnd,91,OPT,1943
j.rnd,92,LWR,141
j.rnd,92,MWR,2007
j.rnd,92,OPT,1836
j.rnd,93,LWR,141
j.rnd,93,MWR,1825
j.rnd,93,OPT,1693
j.rnd,94,LWR,141
j.rnd,94,MWR,1656
j.rnd,94,OPT,1558
j.rnd,95,LWR,141
j.rnd,95,MWR,1480
j.rnd,95,OPT,1402
j.rnd,96,LWR,141
j.rnd,96,MWR,1285
j.rnd,96,OPT,1223
j.rnd,97,LWR,141
j.rnd,97,MWR,1062
j.rnd,97,OPT,1029
j.rnd,98,LWR,141
j.rnd,98,MWR,828
j.rnd,98,OPT,802
j.rnd,99,LWR,141
j.rnd,99,MWR,573
j.rnd,99,OPT,567
j.rnd,100,LWR,141
j.rnd,100,MWR,300
